fish,block,lake,sample_date,trap,DOY,year,peaktemp,dailytemp,DSI,tot_mass,tot_dip_mass,tot_mass_m2,dip_mass_m2,tot_nd_mass,presence,total,total_dip,tot_m2,dip_m2,total_nd,tot_per,dip_per,nd_per
1,2,H2P,2019-07-23,S1 emerg trap,204,2019,16.832,9.561391304347826,7,1.144666461643074,1.144666461643074,4.30087107406383,4.30087107406383,0,0,1,1,3.75731378369406,3.75731378369406,0,1.144666461643074,1.144666461643074,0
1,2,H2P,2019-07-23,S2-emerg.,204,2019,16.832,9.561391304347826,7,4.578665846572296,4.578665846572296,17.20348429625532,17.20348429625532,0,0,4,4,15.02925513477624,15.02925513477624,0,1.144666461643074,1.144666461643074,0
1,2,H2P,2019-07-23,SE,204,2019,16.832,9.561391304347826,7,1.144666461643074,1.144666461643074,4.30087107406383,4.30087107406383,0,0,1,1,3.75731378369406,3.75731378369406,0,1.144666461643074,1.144666461643074,0
1,2,H2P,2019-07-23,SW,204,2019,16.832,9.561391304347826,7,1.2231737661554891,1.2231737661554891,4.595847651428994,4.595847651428994,0,0,2,2,7.51462756738812,7.51462756738812,0,0.6115868830777446,0.6115868830777446,0
0,3,H3A,2019-08-01,E-littoral,213,2019,17.717826923076924,15.861191489361705,16,24.002288216882025,9.963046841697972,90.18412835748836,37.434293225901364,14.039241375184053,1,13,10,48.84507918802278,37.5731378369406,3,1.846329862837079,0.9963046841697972,4.679747125061351
0,3,H3A,2019-08-01,E-shore,213,2019,17.717826923076924,15.861191489361705,16,17.007125480973805,3.9956987114397946,63.90110699067735,15.013093843981334,13.01142676953401,1,4,3,15.02925513477624,11.27194135108218,1,4.251781370243451,1.3318995704799315,13.01142676953401
0,3,H3A,2019-08-01,N-littoral,213,2019,17.717826923076924,15.861191489361705,16,14.09998141754829,14.09998141754829,52.978054529984306,52.978054529984306,0,0,12,12,45.08776540432872,45.08776540432872,0,1.1749984514623575,1.1749984514623575,0
0,3,H3A,2019-08-01,NW-shore,213,2019,17.717826923076924,15.861191489361705,16,58.263807133879936,14.549779700216561,218.9154056346194,54.66808781733572,43.714027433663375,1,17,13,63.87433432279902,48.84507918802278,4,3.4272827725811728,1.1192138230935818,10.928506858415844
0,3,H3A,2019-08-01,S-shore,213,2019,17.717826923076924,15.861191489361705,16,7.334285428661307,2.654538303599957,27.557211734655628,9.973933357459964,4.6797471250613505,1,7,6,26.30119648585842,22.54388270216436,1,1.0477550612373296,0.44242305059999276,4.6797471250613505
0,3,H3A,2019-08-01,W,213,2019,17.717826923076924,15.861191489361705,16,4.934758420728147,4.934758420728147,18.541435833402197,18.541435833402197,0,0,5,5,18.7865689184703,18.7865689184703,0,0.9869516841456293,0.9869516841456293,0
1,3,H3P,2019-08-01,E-littoral,213,2019,17.264115384615383,13.843468085106382,12,0.716032352958541,0.716032352958541,2.6903582293420163,2.6903582293420163,0,0,1,1,3.75731378369406,3.75731378369406,0,0.716032352958541,0.716032352958541,0
1,3,H3P,2019-08-01,N-littoral,213,2019,17.264115384615383,13.843468085106382,12,7.155397014132451,7.155397014132451,26.88507182900318,26.88507182900318,0,0,7,7,26.30119648585842,26.30119648585842,0,1.0221995734474931,1.0221995734474931,0
1,3,H3P,2019-08-01,S-littoral,213,2019,17.264115384615383,13.843468085106382,12,34.39072011503436,34.39072011503436,129.2167267193832,129.2167267193832,0,0,15,15,56.3597067554109,56.3597067554109,0,2.2927146743356244,2.2927146743356244,0
1,3,H3P,2019-08-01,W-littoral,213,2019,17.264115384615383,13.843468085106382,12,3.2796663584812538,3.2796663584812538,12.322735614639319,12.322735614639319,0,0,2,2,7.51462756738812,7.51462756738812,0,1.6398331792406267,1.6398331792406267,0
0,2,H2A,2019-08-03,E-littoral,215,2019,15.69176923076923,10.612875,9,4.578665846572296,4.578665846572296,17.20348429625532,17.20348429625532,0,0,4,4,15.02925513477624,15.02925513477624,0,1.144666461643074,1.144666461643074,0
0,2,H2A,2019-08-03,E-shore,215,2019,15.69176923076923,10.612875,9,7.5840311228169845,7.5840311228169845,28.495584673724995,28.495584673724995,0,0,7,7,26.30119648585842,26.30119648585842,0,1.0834330175452835,1.0834330175452835,0
0,2,H2A,2019-08-03,N-littoral,215,2019,15.69176923076923,10.612875,9,6.241649212494742,6.241649212494742,23.451834619089666,23.451834619089666,0,0,6,6,22.54388270216436,22.54388270216436,0,1.0402748687491234,1.0402748687491234,0
0,2,H2A,2019-08-03,N-shore,215,2019,15.69176923076923,10.612875,9,4.663936653183664,4.663936653183664,17.523873473282926,17.523873473282926,0,0,3,3,11.27194135108218,11.27194135108218,0,1.5546455510612216,1.5546455510612216,0
0,2,H2A,2019-08-03,S-littoral,215,2019,15.69176923076923,10.612875,9,9.24351798508664,9.24351798508664,34.73079753518998,34.73079753518998,0,0,13,13,48.84507918802278,48.84507918802278,0,0.7110398450066646,0.7110398450066646,0
0,2,H2A,2019-08-03,S-shore,215,2019,15.69176923076923,10.612875,9,7.659835317081548,7.659835317081548,28.78040481769706,28.78040481769706,0,0,14,14,52.60239297171684,52.60239297171684,0,0.5471310940772535,0.5471310940772535,0
0,2,H2A,2019-08-03,W-littoral,215,2019,15.69176923076923,10.612875,9,24.944750488836686,24.944750488836686,93.72525484251523,93.72525484251523,0,0,30,30,112.7194135108218,112.7194135108218,0,0.831491682961223,0.831491682961223,0
0,2,H2A,2019-08-03,W-shore,215,2019,15.69176923076923,10.612875,9,1.554950712838115,1.554950712838115,5.842437746311554,5.842437746311554,0,0,3,3,11.27194135108218,11.27194135108218,0,0.5183169042793717,0.5183169042793717,0
1,2,H2P,2019-08-03,E-littoral,215,2019,16.832,12.4625625,18,12.25716437761749,12.25716437761749,46.05401266502602,46.05401266502602,0,0,21,21,78.90358945757526,78.90358945757526,0,0.5836744941722615,0.5836744941722615,0
1,2,H2P,2019-08-03,E-shore,215,2019,16.832,12.4625625,18,11.453428118529693,11.453428118529693,43.034123340300745,43.034123340300745,0,0,8,8,30.05851026955248,30.05851026955248,0,1.4316785148162117,1.4316785148162117,0
1,2,H2P,2019-08-03,N-littoral,215,2019,16.832,12.4625625,18,14.818308065111752,14.818308065111752,55.67703314406924,55.67703314406924,0,0,22,22,82.66090324126932,82.66090324126932,0,0.6735594575050796,0.6735594575050796,0
1,2,H2P,2019-08-03,N-shore,215,2019,16.832,12.4625625,18,14.75078498713335,14.75078498713335,55.42332775246355,55.42332775246355,0,0,20,20,75.1462756738812,75.1462756738812,0,0.7375392493566675,0.7375392493566675,0
1,2,H2P,2019-08-03,S-littoral,215,2019,16.832,12.4625625,18,25.951019975437926,25.951019975437926,97.5061250546328,97.5061250546328,0,0,32,32,120.23404107820993,120.23404107820993,0,0.8109693742324351,0.8109693742324351,0
1,2,H2P,2019-08-03,S-shore,215,2019,16.832,12.4625625,18,8.411265087689932,8.411265087689932,31.603762252282007,31.603762252282007,0,0,12,12,45.08776540432872,45.08776540432872,0,0.7009387573074943,0.7009387573074943,0
1,2,H2P,2019-08-03,W,215,2019,16.832,12.4625625,18,17.16999692464611,17.16999692464611,64.51306611095745,64.51306611095745,0,0,15,15,56.3597067554109,56.3597067554109,0,1.1446664616430742,1.1446664616430742,0
